timestamp,device,torch_version,cuda_version,implementation,activation_dtype,rows,in_features,out_features,warmup_iterations,measurement_rounds,repeats_per_round,mean_ms,median_ms,minimum_ms,p95_ms,speedup_vs_reference
20260713_142951,Orin,2.8.0,12.6,pytorch_reference,float16,1,1024,1024,5,10,10,0.629084482,0.719675207,0.426806402,0.785756779,1.000000
20260713_142951,Orin,2.8.0,12.6,cuda_naive,float16,1,1024,1024,5,10,10,0.101355839,0.101286399,0.101068795,0.101705599,7.105349
20260713_142951,Orin,2.8.0,12.6,cuda_warp,float16,1,1024,1024,5,10,10,0.035866240,0.035707201,0.034096000,0.037926400,20.154904
20260713_142951,Orin,2.8.0,12.6,cuda_tiled,float16,1,1024,1024,5,10,10,0.036223360,0.036190400,0.035548800,0.036998400,19.885804
20260713_142951,Orin,2.8.0,12.6,cuda_vec4,float16,1,1024,1024,5,10,10,0.035845120,0.035796800,0.033836800,0.038787201,20.104456
20260713_142951,Orin,2.8.0,12.6,cuda_half2,float16,1,1024,1024,5,10,10,0.035696320,0.035576001,0.034620801,0.039068800,20.229233
20260713_142951,Orin,2.8.0,12.6,pytorch_reference,float16,1,2048,2048,5,10,10,1.764821463,1.564176035,1.404307175,2.832624054,1.000000
20260713_142951,Orin,2.8.0,12.6,cuda_naive,float16,1,2048,2048,5,10,10,0.409082232,0.409086394,0.408742380,0.409686422,3.823584
20260713_142951,Orin,2.8.0,12.6,cuda_warp,float16,1,2048,2048,5,10,10,0.082000000,0.081985599,0.081811202,0.082332802,19.078668
20260713_142951,Orin,2.8.0,12.6,cuda_tiled,float16,1,2048,2048,5,10,10,0.102157758,0.102132797,0.101785600,0.102559996,15.315120
20260713_142951,Orin,2.8.0,12.6,cuda_vec4,float16,1,2048,2048,5,10,10,0.078784000,0.078825602,0.078486401,0.079126400,19.843503
20260713_142951,Orin,2.8.0,12.6,cuda_half2,float16,1,2048,2048,5,10,10,0.088720320,0.089803198,0.082755202,0.090233600,17.417821
20260713_142951,Orin,2.8.0,12.6,pytorch_reference,float16,4,2048,2048,5,10,10,1.520653763,1.475199986,1.473737621,1.754604721,1.000000
20260713_142951,Orin,2.8.0,12.6,cuda_naive,float16,4,2048,2048,5,10,10,1.515640001,1.515447998,1.514950371,1.516684818,0.973442
20260713_142951,Orin,2.8.0,12.6,cuda_warp,float16,4,2048,2048,5,10,10,0.230637763,0.230607998,0.230409598,0.230960011,6.397003
20260713_142951,Orin,2.8.0,12.6,cuda_tiled,float16,4,2048,2048,5,10,10,0.313680320,0.313699198,0.313280010,0.313955212,4.702594
20260713_142951,Orin,2.8.0,12.6,cuda_vec4,float16,4,2048,2048,5,10,10,0.228908479,0.228713596,0.228364801,0.229647994,6.449988
20260713_142951,Orin,2.8.0,12.6,cuda_half2,float16,4,2048,2048,5,10,10,0.214347525,0.214272010,0.214060807,0.214627194,6.884707
