timestamp,device,torch_version,cuda_version,implementation,activation_dtype,rows,in_features,out_features,warmup_iterations,measurement_rounds,repeats_per_round,mean_ms,median_ms,minimum_ms,p95_ms,speedup_vs_reference
20260713_135940,Orin,2.8.0,12.6,pytorch_reference,float32,1,1024,1024,5,10,10,0.651437440,0.751851201,0.407388783,0.754291201,1.000000
20260713_135940,Orin,2.8.0,12.6,cuda_naive,float32,1,1024,1024,5,10,10,0.094655680,0.094876799,0.092057598,0.095350403,7.924500
20260713_135940,Orin,2.8.0,12.6,cuda_warp,float32,1,1024,1024,5,10,10,0.035478721,0.036046401,0.027011201,0.037670401,20.857872
20260713_135940,Orin,2.8.0,12.6,cuda_tiled,float32,1,1024,1024,5,10,10,0.036422400,0.036555199,0.032655999,0.039708799,20.567559
20260713_135940,Orin,2.8.0,12.6,cuda_vec4,float32,1,1024,1024,5,10,10,0.033933760,0.033915199,0.031708801,0.035964799,22.168562
20260713_135940,Orin,2.8.0,12.6,pytorch_reference,float32,1,2048,2048,5,10,10,1.808602247,1.541911983,1.383731174,2.793830490,1.000000
20260713_135940,Orin,2.8.0,12.6,cuda_naive,float32,1,2048,2048,5,10,10,0.209777923,0.209755206,0.209452796,0.210358405,7.351007
20260713_135940,Orin,2.8.0,12.6,cuda_warp,float32,1,2048,2048,5,10,10,0.079440960,0.079396799,0.079084802,0.079945600,19.420329
20260713_135940,Orin,2.8.0,12.6,cuda_tiled,float32,1,2048,2048,5,10,10,0.102320000,0.102296001,0.102137601,0.102831995,15.073043
20260713_135940,Orin,2.8.0,12.6,cuda_vec4,float32,1,2048,2048,5,10,10,0.080653760,0.080692801,0.080118400,0.081040001,19.108421
20260713_135940,Orin,2.8.0,12.6,pytorch_reference,float32,4,2048,2048,5,10,10,1.560053444,1.457209587,1.453964806,1.910563278,1.000000
20260713_135940,Orin,2.8.0,12.6,cuda_naive,float32,4,2048,2048,5,10,10,0.728914552,0.728774381,0.728505611,0.729548788,1.999535
20260713_135940,Orin,2.8.0,12.6,cuda_warp,float32,4,2048,2048,5,10,10,0.226734722,0.226344001,0.225731206,0.229683208,6.438031
20260713_135940,Orin,2.8.0,12.6,cuda_tiled,float32,4,2048,2048,5,10,10,0.313373759,0.313337600,0.312966394,0.314073610,4.650606
20260713_135940,Orin,2.8.0,12.6,cuda_vec4,float32,4,2048,2048,5,10,10,0.158344960,0.158288002,0.157913601,0.158969605,9.206065
