timestamp,device,torch_version,cuda_version,implementation,activation_dtype,rows,in_features,out_features,warmup_iterations,measurement_rounds,repeats_per_round,mean_ms,median_ms,minimum_ms,p95_ms,speedup_vs_reference
20260713_144325,Orin,2.8.0,12.6,pytorch_reference,float32,1,1024,1024,5,10,10,0.568577285,0.518155193,0.408784008,0.758425617,1.000000
20260713_144325,Orin,2.8.0,12.6,cuda_naive,float32,1,1024,1024,5,10,10,0.095340480,0.095174399,0.094815999,0.096684802,5.444271
20260713_144325,Orin,2.8.0,12.6,cuda_warp,float32,1,1024,1024,5,10,10,0.037561920,0.037580800,0.034560001,0.040067199,13.787764
20260713_144325,Orin,2.8.0,12.6,cuda_tiled,float32,1,1024,1024,5,10,10,0.037373440,0.037412800,0.035609600,0.039449599,13.849677
20260713_144325,Orin,2.8.0,12.6,cuda_vec4,float32,1,1024,1024,5,10,10,0.036256000,0.035737599,0.034601599,0.041465601,14.498881
20260713_144325,Orin,2.8.0,12.6,cuda_wide,float32,1,1024,1024,5,10,10,0.034963200,0.034913601,0.033769599,0.037792000,14.841070
20260713_144325,Orin,2.8.0,12.6,pytorch_reference,float32,1,2048,2048,5,10,10,1.683771515,1.522238398,1.386684799,2.798438454,1.000000
20260713_144325,Orin,2.8.0,12.6,cuda_naive,float32,1,2048,2048,5,10,10,0.209823039,0.209769595,0.209344006,0.210432005,7.256716
20260713_144325,Orin,2.8.0,12.6,cuda_warp,float32,1,2048,2048,5,10,10,0.079834240,0.079609603,0.079267198,0.081846398,19.121291
20260713_144325,Orin,2.8.0,12.6,cuda_tiled,float32,1,2048,2048,5,10,10,0.102892802,0.102943999,0.102566397,0.103062403,14.787053
20260713_144325,Orin,2.8.0,12.6,cuda_vec4,float32,1,2048,2048,5,10,10,0.080755520,0.080504000,0.080128002,0.083145601,18.908854
20260713_144325,Orin,2.8.0,12.6,cuda_wide,float32,1,2048,2048,5,10,10,0.080567039,0.080647999,0.080207998,0.080886400,18.875092
20260713_144325,Orin,2.8.0,12.6,pytorch_reference,float32,4,2048,2048,5,10,10,1.522609940,1.454283190,1.453071976,1.735465622,1.000000
20260713_144325,Orin,2.8.0,12.6,cuda_naive,float32,4,2048,2048,5,10,10,0.728694077,0.728409600,0.727987194,0.730956793,1.996518
20260713_144325,Orin,2.8.0,12.6,cuda_warp,float32,4,2048,2048,5,10,10,0.227880001,0.228033602,0.226393604,0.228464007,6.377495
20260713_144325,Orin,2.8.0,12.6,cuda_tiled,float32,4,2048,2048,5,10,10,0.313376319,0.313342392,0.312921596,0.313926411,4.641195
20260713_144325,Orin,2.8.0,12.6,cuda_vec4,float32,4,2048,2048,5,10,10,0.157660159,0.157588804,0.157209599,0.158288002,9.228341
20260713_144325,Orin,2.8.0,12.6,cuda_wide,float32,4,2048,2048,5,10,10,0.235930879,0.235867202,0.235071993,0.236428809,6.165686
