timestamp,device,torch_version,cuda_version,implementation,rows,in_features,out_features,warmup_iterations,measurement_rounds,repeats_per_round,mean_ms,median_ms,minimum_ms,p95_ms,speedup_vs_reference
20260713_131217,Orin,2.8.0,12.6,pytorch_reference,1,1024,1024,5,10,10,0.579979839,0.587316799,0.405462408,0.751391983,1.000000
20260713_131217,Orin,2.8.0,12.6,cuda_naive,1,1024,1024,5,10,10,0.095165119,0.095019200,0.094758397,0.096854401,6.181033
20260713_131217,Orin,2.8.0,12.6,cuda_warp,1,1024,1024,5,10,10,0.035332480,0.035016000,0.034572801,0.036598399,16.772812
20260713_131217,Orin,2.8.0,12.6,cuda_tiled,1,1024,1024,5,10,10,0.035788800,0.035688001,0.035328001,0.037052801,16.456982
20260713_131217,Orin,2.8.0,12.6,cuda_vec4,1,1024,1024,5,10,10,0.033518720,0.032855999,0.031222400,0.038563201,17.875481
20260713_131217,Orin,2.8.0,12.6,pytorch_reference,1,2048,2048,5,10,10,1.817844191,1.542368031,1.388332844,2.800403214,1.000000
20260713_131217,Orin,2.8.0,12.6,cuda_naive,1,2048,2048,5,10,10,0.210265920,0.210086405,0.209750390,0.211449599,7.341589
20260713_131217,Orin,2.8.0,12.6,cuda_warp,1,2048,2048,5,10,10,0.079342720,0.079295999,0.079065597,0.079696000,19.450767
20260713_131217,Orin,2.8.0,12.6,cuda_tiled,1,2048,2048,5,10,10,0.102525120,0.102500796,0.102307200,0.102870405,15.047376
20260713_131217,Orin,2.8.0,12.6,cuda_vec4,1,2048,2048,5,10,10,0.081876479,0.080854398,0.080310398,0.088406402,19.075871
20260713_131217,Orin,2.8.0,12.6,pytorch_reference,4,2048,2048,5,10,10,1.543138905,1.455528021,1.453100777,1.912704086,1.000000
20260713_131217,Orin,2.8.0,12.6,cuda_naive,4,2048,2048,5,10,10,0.729175682,0.728339195,0.727519989,0.737497616,1.998421
20260713_131217,Orin,2.8.0,12.6,cuda_warp,4,2048,2048,5,10,10,0.228120639,0.228057599,0.227641606,0.229283190,6.382282
20260713_131217,Orin,2.8.0,12.6,cuda_tiled,4,2048,2048,5,10,10,0.313228798,0.313299203,0.312732792,0.313462400,4.645808
20260713_131217,Orin,2.8.0,12.6,cuda_vec4,4,2048,2048,5,10,10,0.157376320,0.157417601,0.156771195,0.157676804,9.246285
