
NOTICE: Existing SQLite export found: results/nsight/nsys_warp_fp32_rows4_2048.sqlite
        It is assumed file was previously exported from: results/nsight/nsys_warp_fp32_rows4_2048.nsys-rep
        Consider using --force-export=true if needed.

Processing [results/nsight/nsys_warp_fp32_rows4_2048.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.7,43346208,1,43346208.0,43346208.0,43346208,43346208,0.0,cudaEventSynchronize
40.6,39400640,125,315205.1,46368.0,36864,18253568,1800735.8,cudaLaunchKernel
12.3,11916480,1,11916480.0,11916480.0,11916480,11916480,0.0,cudaDeviceSynchronize
1.7,1633216,2,816608.0,816608.0,490112,1143104,461735.1,cudaMalloc
0.5,441696,1,441696.0,441696.0,441696,441696,0.0,cudaHostAlloc
0.1,111200,2,55600.0,55600.0,12608,98592,60799.9,cudaEventCreateWithFlags
0.1,72576,1,72576.0,72576.0,72576,72576,0.0,cudaMemcpyAsync
0.1,57120,2,28560.0,28560.0,24480,32640,5770.0,cudaEventRecordWithFlags_v11010
0.1,54304,12,4525.3,4256.0,928,10880,3347.5,cudaStreamIsCapturing_v10000
0.0,20192,1,20192.0,20192.0,20192,20192,0.0,cudaStreamSynchronize
0.0,11200,2,5600.0,5600.0,1920,9280,5204.3,cudaEventDestroy
0.0,9312,2,4656.0,4656.0,2336,6976,3281.0,cudaEventQuery
0.0,2944,1,2944.0,2944.0,2944,2944,0.0,cuModuleGetLoadingMode

