timestamp,device,torch_version,cuda_version,implementation,rows,hidden_size,elements,warmup_iterations,measurement_rounds,repeats_per_round,mean_ms,median_ms,minimum_ms,p95_ms,speedup_vs_reference
20260712_221121,Orin,2.8.0,12.6,pytorch_reference,1,1024,1024,20,30,50,0.237530476,0.236949768,0.232481918,0.249843197,1.000000
20260712_221121,Orin,2.8.0,12.6,cuda_naive,1,1024,1024,20,30,50,0.030967125,0.031013759,0.029915521,0.031825280,7.640150
20260712_221121,Orin,2.8.0,12.6,cuda_warp,1,1024,1024,20,30,50,0.030198422,0.030207360,0.028932481,0.031178241,7.844107
20260712_221121,Orin,2.8.0,12.6,cuda_float4,1,1024,1024,20,30,50,0.030486336,0.030437760,0.028990719,0.031510401,7.784731
20260712_221121,Orin,2.8.0,12.6,pytorch_reference,1,4096,4096,20,30,50,0.237023125,0.236925440,0.232487049,0.240634880,1.000000
20260712_221121,Orin,2.8.0,12.6,cuda_naive,1,4096,4096,20,30,50,0.030513323,0.030561600,0.029462399,0.031215360,7.752390
20260712_221121,Orin,2.8.0,12.6,cuda_warp,1,4096,4096,20,30,50,0.030086016,0.030015041,0.029442561,0.031075201,7.893557
20260712_221121,Orin,2.8.0,12.6,cuda_float4,1,4096,4096,20,30,50,0.030022912,0.030077440,0.028732800,0.030718081,7.877181
20260712_221121,Orin,2.8.0,12.6,pytorch_reference,16,4096,65536,20,30,50,0.239468203,0.239348478,0.236841602,0.242150402,1.000000
20260712_221121,Orin,2.8.0,12.6,cuda_naive,16,4096,65536,20,30,50,0.031138517,0.031154240,0.030153601,0.031981440,7.682693
20260712_221121,Orin,2.8.0,12.6,cuda_warp,16,4096,65536,20,30,50,0.030401045,0.030315520,0.029283199,0.031541121,7.895246
20260712_221121,Orin,2.8.0,12.6,cuda_float4,16,4096,65536,20,30,50,0.030345045,0.030341760,0.028815999,0.031370881,7.888418
20260712_221121,Orin,2.8.0,12.6,pytorch_reference,128,4096,524288,20,30,50,0.241529643,0.241441603,0.239587193,0.244862080,1.000000
20260712_221121,Orin,2.8.0,12.6,cuda_naive,128,4096,524288,20,30,50,0.055805952,0.055806720,0.055688319,0.055907841,4.326389
20260712_221121,Orin,2.8.0,12.6,cuda_warp,128,4096,524288,20,30,50,0.055222016,0.055213759,0.055090561,0.055372801,4.372852
20260712_221121,Orin,2.8.0,12.6,cuda_float4,128,4096,524288,20,30,50,0.052637504,0.052620480,0.052495999,0.052845440,4.588358
