timestamp,device,torch_version,cuda_version,implementation,rows,hidden_size,elements,warmup_iterations,measurement_rounds,repeats_per_round,mean_ms,median_ms,minimum_ms,p95_ms,speedup_vs_reference
20260712_175730,Orin,2.8.0,12.6,pytorch_reference,1,1024,1024,20,30,50,0.240612822,0.239317760,0.237832317,0.256190071,1.000000
20260712_175730,Orin,2.8.0,12.6,cuda_naive,1,1024,1024,20,30,50,0.029440341,0.029276479,0.028241279,0.030646400,8.174404
20260712_175730,Orin,2.8.0,12.6,cuda_warp,1,1024,1024,20,30,50,0.029356544,0.029413760,0.027704320,0.030309761,8.136252
20260712_175730,Orin,2.8.0,12.6,pytorch_reference,1,4096,4096,20,30,50,0.239156268,0.238824959,0.236124802,0.242275848,1.000000
20260712_175730,Orin,2.8.0,12.6,cuda_naive,1,4096,4096,20,30,50,0.028412992,0.028435520,0.026570880,0.029372799,8.398825
20260712_175730,Orin,2.8.0,12.6,cuda_warp,1,4096,4096,20,30,50,0.028617706,0.028700480,0.026867199,0.029733119,8.321288
20260712_175730,Orin,2.8.0,12.6,pytorch_reference,16,4096,65536,20,30,50,0.240964076,0.240979519,0.238220806,0.243967361,1.000000
20260712_175730,Orin,2.8.0,12.6,cuda_naive,16,4096,65536,20,30,50,0.028774336,0.028725439,0.027424641,0.029951999,8.389063
20260712_175730,Orin,2.8.0,12.6,cuda_warp,16,4096,65536,20,30,50,0.029118912,0.029208000,0.028136320,0.029773440,8.250463
20260712_175730,Orin,2.8.0,12.6,pytorch_reference,128,4096,524288,20,30,50,0.243078443,0.243428802,0.239109764,0.246749439,1.000000
20260712_175730,Orin,2.8.0,12.6,cuda_naive,128,4096,524288,20,30,50,0.055564608,0.055555201,0.055413122,0.055724802,4.381746
20260712_175730,Orin,2.8.0,12.6,cuda_warp,128,4096,524288,20,30,50,0.055455125,0.055448959,0.055308800,0.055569921,4.390142
