timestamp,device,torch_version,cuda_version,implementation,seq_len,num_heads,head_dim,elements_per_tensor,warmup_iterations,measurement_rounds,repeats_per_round,mean_ms,median_ms,minimum_ms,p95_ms,speedup_vs_reference
20260712_231133,Orin,2.8.0,12.6,pytorch_reference,128,8,64,65536,20,30,50,0.807935661,0.807030106,0.801956482,0.812266235,1.000000
20260712_231133,Orin,2.8.0,12.6,cuda_naive,128,8,64,65536,20,30,50,0.037025621,0.037198080,0.034551680,0.038202240,21.695478
20260712_231133,Orin,2.8.0,12.6,cuda_float4,128,8,64,65536,20,30,50,0.035989931,0.036021760,0.033620479,0.037952640,22.403961
20260712_231133,Orin,2.8.0,12.6,pytorch_reference,512,8,64,262144,20,30,50,0.809524175,0.809436493,0.801039963,0.815447693,1.000000
20260712_231133,Orin,2.8.0,12.6,cuda_naive,512,8,64,262144,20,30,50,0.051860502,0.051836481,0.051709442,0.051994882,15.615190
20260712_231133,Orin,2.8.0,12.6,cuda_float4,512,8,64,262144,20,30,50,0.051562987,0.051549439,0.051436162,0.051710720,15.702140
20260712_231133,Orin,2.8.0,12.6,pytorch_reference,1024,16,64,1048576,20,30,50,1.381516479,1.380094757,1.379418182,1.388603516,1.000000
20260712_231133,Orin,2.8.0,12.6,cuda_naive,1024,16,64,1048576,20,30,50,0.182867712,0.182847996,0.182721920,0.182999039,7.547771
20260712_231133,Orin,2.8.0,12.6,cuda_float4,1024,16,64,1048576,20,30,50,0.181784768,0.181752319,0.181592960,0.181984634,7.593272
20260712_231133,Orin,2.8.0,12.6,pytorch_reference,2048,16,128,4194304,20,30,50,5.162019999,5.161006775,5.159995117,5.170078125,1.000000
20260712_231133,Orin,2.8.0,12.6,cuda_naive,2048,16,128,4194304,20,30,50,0.708321772,0.708220482,0.708033905,0.709260788,7.287288
20260712_231133,Orin,2.8.0,12.6,cuda_float4,2048,16,128,4194304,20,30,50,0.705840383,0.705387535,0.705098877,0.710164490,7.316555
